LATITUDE,LONGITUDE,ADM_RATE,ADM_RATE_ALL,SAT_AVG,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,UGDS_WHITENH,UGDS_BLACKNH,UGDS_API,UGDS_AIANOLD,UGDS_HISPOLD,UG_NRA,UG_UNKN,UG_WHITENH,UG_BLACKNH,UG_API,UG_AIANOLD,UG_HISPOLD,TUITIONFEE_IN,TUITIONFEE_OUT,TUITFTE,INEXPFTE,AVGFACSAL,PFTFAC,PCTPELL,PCTFLOAN,COUNT_ED,LOAN_EVER,PELL_EVER,AGE_ENTRY,AGEGE24,FEMALE,MARRIED,DEPENDENT,VETERAN,FIRST_GEN,FAMINC,MD_FAMINC,FAMINC_IND,PCT_WHITE,PCT_BLACK,PCT_ASIAN,PCT_HISPANIC,PCT_BA,PCT_GRAD_PROF,PCT_BORN_US,MEDIAN_HH_INC,POVERTY_RATE,UNEMP_RATE,LN_MEDIAN_HH_INC,DEBT_MDN_SUPP,GRAD_DEBT_MDN_SUPP,GRAD_DEBT_MDN10YR_SUPP,UGDS_MEN,UGDS_WOMEN,MEDIAN_HH_INC2,10 yr median
36.861681,-76.300768,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0.8571,0,0.1429,0,0,NULL,NULL,29574,59753,9720,0.9706,NULL,NULL,50,NULL,NULL,NULL,0.790000021,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,74.79000092,17.39999962,3.849999905,4.119999886,19.78000069,12.42000008,91.37999725,68853.24,6.510000229,3.039999962,11.09000015,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,50161.82,150900
42.300069,-87.859632,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0.7143,0.1429,0.1429,0,0,NULL,NULL,32781,17456,9123,0.7766,NULL,NULL,289,NULL,NULL,NULL,0.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,76.19000244,9.06000042,6.840000153,12.13000011,19.77000046,11.60999966,84,75021.24,6.25,3.369999886,11.17000008,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,50111.47,137500
36.166708,-86.807315,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0.25,0.7439,0,0,0.0061,NULL,NULL,34663,32856,NULL,NULL,NULL,NULL,154,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.75,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,51.52000046,39.11999893,3.359999895,8.350000381,16.51000023,9.180000305,88.75,57734.66,11.75,4.159999847,10.89000034,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,43059.02,135100
34.058092,-117.747732,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0204,0.0306,0.4796,0.0408,0.2245,0,0.2041,NULL,NULL,41132,28406,9907,0.8932,NULL,NULL,127,NULL,NULL,NULL,0.970000029,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,58.33000183,5.289999962,13.64999962,33.41999817,16.54000092,8.359999657,71.06999969,68302.51,10.22000027,4.150000095,11.07999992,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,68303.77,128800
40.655283,-73.943827,NULL,NULL,NULL,338,0.3905,0.2189,0.1154,0.1716,0.003,0,0.0207,0.0059,0.074,0,0,0,0,0,0.0151,0.0151,0.3869,0.4598,0.0704,0,0.0528,NULL,NULL,19815,72057,11006,0.8598,0.2067,0.4581,368,0.812,0.268,28.948,0.730000019,0.752,0.216,0.248,PrivacySuppressed,0.369668246,37736.82162,23769.93708,34591.19197,53.49000168,25.59000015,9.329999924,16.01000023,16.43000031,11.72999954,63.59999847,63618.17,13.78999996,4.690000057,10.97999954,13500,15750,161.6408389,0.2189,0.7811,72171.58,128000
37.762736,-122.458049,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0108,0.0323,0.6022,0.0108,0.2151,0,0.129,NULL,NULL,18618,116672,11486,0.5819,NULL,NULL,228,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.850000024,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,60.18000031,6.090000153,20.29000092,17.38999939,23.90999985,14.82999992,71.59999847,78614.96,7.510000229,3.309999943,11.22000027,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,64055.44,126500
33.620887,-112.180861,NULL,NULL,NULL,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,71514,55110,13694,0.3607,0,0,119,PrivacySuppressed,PrivacySuppressed,30.63636364,0.970000029,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,23108.54139,26849.89657,PrivacySuppressed,81.08000183,5.559999943,5.039999962,11.31999969,22.56999969,14.14999962,86.62999725,71245.67,6.960000038,3.289999962,11.10999966,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0,1,75163.69,118900
42.652559,-73.778132,0.674,0.674036639,1165,1076,0.6375,0.0344,0.0455,0.1413,0.0037,0.0009,0.0084,0.0669,0.0613,0.6745,0.0252,0.1421,0.0036,0.0162,0.0207,0.0017,0.833,0.0293,0.0929,0.0034,0.0189,30131,30131,24725,12450,8635,0.7891,0.2301,0.8154,461,0.982547993,0.305410122,20.85340314,0.140000001,0.633507853,0.020942408,0.881326353,PrivacySuppressed,0.18464351,83673.67448,74309.8968,19741.16057,87.79000092,5.090000153,3.130000114,4.980000019,14.51000023,10.07999992,90.04000092,60872.01,7.650000095,3.480000019,10.97000027,23500,26144,268.3135297,0.4006,0.5994,35911.97,118800
41.828376,-88.000989,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.0383,0.6048,0.0423,0.2944,0,0.0202,NULL,NULL,43479,19027,9402,0.9128,NULL,NULL,194,NULL,NULL,NULL,0.709999979,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,83.11000061,5.860000134,3.799999952,10.31000042,19.20999908,10.03999996,89.54000092,74224.67,5.630000114,3.059999943,11.17000008,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,47912.89,117800
33.663217,-112.183556,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2727,0.0909,0.1818,0,0.0909,0,0.0442,0.7965,0.0265,0.0531,0,0.0796,NULL,NULL,44185,20904,11643,0.8691,NULL,NULL,194,NULL,NULL,NULL,0.709999979,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,83.11000061,5.860000134,3.799999952,10.31000042,19.20999908,10.03999996,89.54000092,74224.67,5.630000114,3.059999943,11.17000008,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,68989.87,117800
